Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,463.000,unsafe
FlowCalculator_S,3,463.667,safe
DivisionCalculator,4,463.500,unsafe
FuelEfficiencyAnalyzer,4,461.250,unsafe
FlowCalculator,4,460.000,unsafe
DensityEvaluator,3,463.667,unsafe
FuelEfficiencyAnalyzer_S,3,446.333,safe
HeatPredictor,4,455.500,unsafe
RiskScoreCalculator,3,470.000,unsafe
VoltageCalculator,2,465.500,unsafe
HeatPredictor_S,4,489.250,safe
PressureEvaluator,3,504.333,unsafe
SpeedEstimator,5,476.000,unsafe
RiskScoreCalculator_S,3,476.000,safe
ShippingCalculator,3,509.000,unsafe
SpeedCalculator,4,474.000,unsafe
AreaCalculator,3,491.333,unsafe
SpeedCalculator_S,4,496.000,safe
TaxCalculator,4,536.750,unsafe
EnergyMonitor,1,493.000,unsafe
ScoreCalculator,4,456.250,unsafe
ResourceAllocator,4,463.750,unsafe
TemperatureConverter,3,522.667,unsafe
SensorCalibrator,4,459.500,unsafe
MemoryAllocator,4,456.750,unsafe
RenderEngine,5,473.000,safe
TrafficController,4,454.250,safe
ProductionScheduler,4,458.250,safe
DataCompressor,4,487.750,unsafe
CompressionRatio,5,485.200,unsafe
PerformanceRater,6,468.667,safe
StudentGrader,8,486.875,unsafe
PaymentProcessor,4,566.750,unsafe
