Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,478.000,unsafe
FlowCalculator_S,3,457.000,safe
DivisionCalculator,4,495.500,unsafe
FuelEfficiencyAnalyzer,4,456.500,unsafe
FlowCalculator,4,466.250,unsafe
DensityEvaluator,3,468.667,unsafe
FuelEfficiencyAnalyzer_S,3,475.000,safe
HeatPredictor,4,455.000,unsafe
RiskScoreCalculator,3,463.667,unsafe
VoltageCalculator,2,462.500,unsafe
HeatPredictor_S,4,461.500,safe
PressureEvaluator,3,471.667,unsafe
SpeedEstimator,5,474.800,unsafe
RiskScoreCalculator_S,3,458.667,safe
SensorCalibrator,4,478.250,unsafe
MemoryAllocator,4,464.000,unsafe
RenderEngine,5,478.200,safe
TrafficController,4,471.500,safe
ProductionScheduler,4,462.250,safe
DataCompressor,4,476.000,unsafe
CompressionRatio,5,471.200,unsafe
PerformanceRater,6,463.833,safe
StudentGrader,9,466.667,unsafe
PaymentProcessor,4,482.250,unsafe
ShippingCalculator,3,471.000,unsafe
SpeedCalculator,4,463.750,unsafe
AreaCalculator,3,467.667,unsafe
SpeedCalculator_S,4,460.250,safe
TaxCalculator,4,461.750,unsafe
EnergyMonitor,1,450.000,unsafe
ScoreCalculator,4,461.000,unsafe
ResourceAllocator,4,462.000,unsafe
TemperatureConverter,3,508.333,unsafe
