Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MetricsCalculator_2,8,702.750,unsafe
MultiSumRatio,1,1947.000,unsafe
TO_BASE,1,526.000,unsafe
MetricsCalculator,14,511.143,unsafe
PressureMonitor,2,552.500,unsafe
Power2Bit,9,488.222,unsafe
Power3Bit,11,501.455,unsafe
