Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MetricsCalculator_2,25,1595.120,unsafe
MultiSumRatio,1,1180.000,unsafe
TO_BASE,1,469.000,unsafe
MetricsCalculator,13,481.385,unsafe
PressureMonitor,6,495.333,unsafe
Power2Bit,10,457.000,unsafe
Power3Bit,4,472.250,unsafe
