Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,492.000,unsafe
FlowCalculator_S,3,475.667,safe
DivisionCalculator,4,492.000,unsafe
FuelEfficiencyAnalyzer,4,479.750,unsafe
FlowCalculator,4,468.500,unsafe
DensityEvaluator,3,477.333,unsafe
FuelEfficiencyAnalyzer_S,3,517.000,safe
HeatPredictor,4,465.500,unsafe
RiskScoreCalculator,3,477.000,unsafe
VoltageCalculator,2,475.000,unsafe
HeatPredictor_S,4,507.500,safe
PressureEvaluator,3,487.333,unsafe
SpeedEstimator,5,480.400,unsafe
RiskScoreCalculator_S,3,481.667,safe
SensorCalibrator,4,480.000,unsafe
MemoryAllocator,4,475.000,unsafe
RenderEngine,5,470.000,safe
TrafficController,4,470.750,safe
ProductionScheduler,4,472.750,safe
DataCompressor,4,472.250,unsafe
CompressionRatio,5,463.200,unsafe
PerformanceRater,6,457.000,safe
StudentGrader,8,472.125,unsafe
PaymentProcessor,4,480.500,unsafe
ShippingCalculator,3,465.333,unsafe
SpeedCalculator,4,467.750,unsafe
AreaCalculator,3,467.667,unsafe
SpeedCalculator_S,4,475.750,safe
TaxCalculator,4,471.250,unsafe
EnergyMonitor,1,481.000,unsafe
ScoreCalculator,4,480.500,unsafe
ResourceAllocator,4,472.000,unsafe
TemperatureConverter,1,564.000,unsafe
