Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,461.000,unsafe
FlowCalculator_S,3,457.000,safe
DivisionCalculator,4,473.250,unsafe
FuelEfficiencyAnalyzer,4,456.750,unsafe
FlowCalculator,4,490.250,unsafe
DensityEvaluator,3,465.000,unsafe
FuelEfficiencyAnalyzer_S,3,465.333,safe
HeatPredictor,4,462.000,unsafe
RiskScoreCalculator,3,461.333,unsafe
VoltageCalculator,2,464.500,unsafe
HeatPredictor_S,4,468.750,safe
PressureEvaluator,3,480.667,unsafe
SpeedEstimator,5,505.400,unsafe
RiskScoreCalculator_S,3,509.333,safe
SensorCalibrator,4,484.000,unsafe
MemoryAllocator,4,489.000,unsafe
RenderEngine,5,482.600,safe
TrafficController,4,473.000,safe
ProductionScheduler,4,493.000,safe
DataCompressor,4,567.000,unsafe
CompressionRatio,5,471.800,unsafe
PerformanceRater,6,464.167,safe
StudentGrader,8,470.875,unsafe
PaymentProcessor,4,482.250,unsafe
ShippingCalculator,3,476.000,unsafe
SpeedCalculator,4,466.250,unsafe
AreaCalculator,3,475.000,unsafe
SpeedCalculator_S,4,470.250,safe
TaxCalculator,4,507.500,unsafe
EnergyMonitor,1,472.000,unsafe
ScoreCalculator,4,462.500,unsafe
ResourceAllocator,4,467.500,unsafe
TemperatureConverter,1,566.000,unsafe
