Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MultiSumRatio,1,1904.000,unsafe
TO_BASE,1,616.000,unsafe
MetricsCalculator,1,568.000,unsafe
PressureMonitor,6,518.833,unsafe
Power2Bit,9,462.556,unsafe
Power3Bit,5,504.400,unsafe
