Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,459.000,unsafe
FlowCalculator_S,3,440.000,safe
DivisionCalculator,4,467.250,unsafe
FuelEfficiencyAnalyzer,4,457.250,unsafe
FlowCalculator,4,452.250,unsafe
DensityEvaluator,3,457.000,unsafe
FuelEfficiencyAnalyzer_S,3,460.000,safe
HeatPredictor,4,466.750,unsafe
RiskScoreCalculator,3,463.000,unsafe
VoltageCalculator,2,455.500,unsafe
HeatPredictor_S,4,450.750,safe
PressureEvaluator,3,467.667,unsafe
SpeedEstimator,5,466.600,unsafe
RiskScoreCalculator_S,3,468.333,safe
SensorCalibrator,4,478.250,unsafe
MemoryAllocator,4,469.500,unsafe
RenderEngine,5,475.400,safe
TrafficController,4,472.500,safe
ProductionScheduler,4,464.250,safe
DataCompressor,4,477.750,unsafe
CompressionRatio,5,470.400,unsafe
PerformanceRater,6,452.333,safe
StudentGrader,8,468.000,unsafe
PaymentProcessor,4,483.000,unsafe
ShippingCalculator,3,472.000,unsafe
SpeedCalculator,4,494.750,unsafe
AreaCalculator,3,470.000,unsafe
SpeedCalculator_S,4,458.500,safe
TaxCalculator,4,464.000,unsafe
EnergyMonitor,1,463.000,unsafe
ScoreCalculator,4,450.500,unsafe
ResourceAllocator,4,465.750,unsafe
TemperatureConverter,1,543.000,unsafe
