Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,459.000,unsafe
FlowCalculator_S,3,455.333,safe
DivisionCalculator,4,467.250,unsafe
FuelEfficiencyAnalyzer,4,469.250,unsafe
FlowCalculator,4,461.250,unsafe
DensityEvaluator,3,458.667,unsafe
FuelEfficiencyAnalyzer_S,3,454.333,safe
HeatPredictor,4,458.500,unsafe
RiskScoreCalculator,3,454.667,unsafe
VoltageCalculator,2,460.500,unsafe
HeatPredictor_S,4,459.500,safe
PressureEvaluator,3,470.000,unsafe
SpeedEstimator,5,472.000,unsafe
RiskScoreCalculator_S,3,498.667,safe
SensorCalibrator,4,467.500,unsafe
MemoryAllocator,4,467.750,unsafe
RenderEngine,5,484.400,safe
TrafficController,4,469.250,safe
ProductionScheduler,4,469.500,safe
DataCompressor,4,467.250,unsafe
CompressionRatio,5,478.000,unsafe
PerformanceRater,6,454.000,safe
StudentGrader,8,468.250,unsafe
PaymentProcessor,4,479.250,unsafe
ShippingCalculator,3,479.333,unsafe
SpeedCalculator,4,465.750,unsafe
AreaCalculator,3,476.667,unsafe
SpeedCalculator_S,4,457.750,safe
TaxCalculator,4,464.500,unsafe
EnergyMonitor,1,473.000,unsafe
ScoreCalculator,4,460.500,unsafe
ResourceAllocator,4,462.250,unsafe
TemperatureConverter,3,509.667,unsafe
