Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,462.000,unsafe
FlowCalculator_S,3,463.333,safe
DivisionCalculator,4,476.500,unsafe
FuelEfficiencyAnalyzer,4,460.500,unsafe
FlowCalculator,4,464.500,unsafe
DensityEvaluator,3,465.667,unsafe
FuelEfficiencyAnalyzer_S,3,461.000,safe
HeatPredictor,4,462.000,unsafe
RiskScoreCalculator,3,460.000,unsafe
VoltageCalculator,2,463.000,unsafe
HeatPredictor_S,4,460.250,safe
PressureEvaluator,3,465.667,unsafe
SpeedEstimator,5,473.600,unsafe
RiskScoreCalculator_S,3,496.333,safe
SensorCalibrator,4,473.000,unsafe
MemoryAllocator,4,471.500,unsafe
RenderEngine,5,473.400,safe
TrafficController,4,467.750,safe
ProductionScheduler,4,475.000,safe
DataCompressor,4,522.750,unsafe
CompressionRatio,5,473.200,unsafe
PerformanceRater,6,464.333,safe
StudentGrader,8,464.500,unsafe
PaymentProcessor,4,470.250,unsafe
ShippingCalculator,3,467.000,unsafe
SpeedCalculator,4,461.250,unsafe
AreaCalculator,3,474.667,unsafe
SpeedCalculator_S,4,468.750,safe
TaxCalculator,4,471.500,unsafe
EnergyMonitor,1,461.000,unsafe
ScoreCalculator,4,459.000,unsafe
ResourceAllocator,4,467.250,unsafe
TemperatureConverter,1,584.000,unsafe
