Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MultiSumRatio,1,1705.000,unsafe
TO_BASE,1,466.000,unsafe
MetricsCalculator,11,478.091,unsafe
PressureMonitor,6,502.167,unsafe
Power2Bit,5,498.000,unsafe
Power3Bit,7,518.429,unsafe
