Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MixCollectSum_2,10,528.100,safe
MultiPower2Ratio,40,820.800,safe
MixCollectSum,14,608.214,safe
Power3Bit_S,17,478.176,safe
Power2Bit_S,13,471.692,safe
