Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
MetricsCalculator_2,23,2417.348,unsafe
MultiSumRatio,1,1279.000,unsafe
TO_BASE,2,538.000,unsafe
MetricsCalculator,10,481.200,unsafe
PressureMonitor,6,501.000,unsafe
Power2Bit,13,473.846,unsafe
Power3Bit,3,477.667,unsafe
